ID,up__Travel_ID,up__Pos,booked_ID,Price,Currency_code
4D997221A8E4645C17002DF03754AB66,2,7,BV-0008,3.5,EUR
57997221A8E4645C17002DF03754AB66,3,3,BV-0007,3.5,EUR
5A997221A8E4645C17002DF03754AB66,3,4,BV-0006,3.5,EUR
7C997221A8E4645C17002DF03754AB66,6,6,BV-0008,3.5,EUR
A5997221A8E4645C17002DF03754AB66,8,9,BV-0006,3.5,EUR
BE997221A8E4645C17002DF03754AB66,11,6,BV-0008,3.5,EUR
C1997221A8E4645C17002DF03754AB66,11,9,BV-0008,3.5,EUR
ED997221A8E4645C17002DF03754AB66,16,2,BV-0004,3.5,EUR
F7997221A8E4645C17002DF03754AB66,16,10,BV-0007,3.5,EUR
F8997221A8E4645C17002DF03754AB66,16,11,BV-0008,3.5,EUR
019A7221A8E4645C17002DF03754AB66,17,4,BV-0008,3.5,EUR
099A7221A8E4645C17002DF03754AB66,18,4,BV-0008,3.5,EUR
0A9A7221A8E4645C17002DF03754AB66,19,1,BV-0006,3.5,EUR
259A7221A8E4645C17002DF03754AB66,21,3,BV-0004,3.5,EUR
299A7221A8E4645C17002DF03754AB66,22,1,BV-0006,3.5,EUR
359A7221A8E4645C17002DF03754AB66,23,3,BV-0005,3.5,EUR
3A9A7221A8E4645C17002DF03754AB66,23,5,BV-0003,3.5,EUR
409A7221A8E4645C17002DF03754AB66,23,9,BV-0007,3.5,EUR
449A7221A8E4645C17002DF03754AB66,23,10,BV-0005,3.5,EUR
459A7221A8E4645C17002DF03754AB66,23,11,BV-0007,3.5,EUR
4F9A7221A8E4645C17002DF03754AB66,26,1,BV-0007,3.5,EUR
5B9A7221A8E4645C17002DF03754AB66,27,4,BV-0004,3.5,EUR
679A7221A8E4645C17002DF03754AB66,29,1,BV-0003,3.5,EUR
789A7221A8E4645C17002DF03754AB66,32,3,BV-0008,3.5,EUR
819A7221A8E4645C17002DF03754AB66,32,9,BV-0005,3.5,EUR
8B9A7221A8E4645C17002DF03754AB66,34,4,BV-0003,3.5,EUR
909A7221A8E4645C17002DF03754AB66,34,8,BV-0003,3.5,EUR
959A7221A8E4645C17002DF03754AB66,35,3,BV-0003,3.5,EUR
049B7221A8E4645C17002DF03754AB66,47,1,BV-0007,3.5,EUR
089B7221A8E4645C17002DF03754AB66,47,6,BV-0003,3.5,EUR
199B7221A8E4645C17002DF03754AB66,51,1,BV-0005,3.5,EUR
3E9B7221A8E4645C17002DF03754AB66,56,2,BV-0008,3.5,EUR
499B7221A8E4645C17002DF03754AB66,59,1,BV-0005,3.5,EUR
4E9B7221A8E4645C17002DF03754AB66,61,1,BV-0007,3.5,EUR
559B7221A8E4645C17002DF03754AB66,64,1,BV-0006,3.5,EUR
5E9B7221A8E4645C17002DF03754AB66,67,1,BV-0005,3.5,EUR
919B7221A8E4645C17002DF03754AB66,79,2,BV-0003,3.5,EUR
9B9B7221A8E4645C17002DF03754AB66,82,1,BV-0005,3.5,EUR
C19B7221A8E4645C17002DF03754AB66,91,1,BV-0003,3.5,EUR
F89B7221A8E4645C17002DF03754AB66,100,1,BV-0006,3.5,EUR
039C7221A8E4645C17002DF03754AB66,101,4,BV-0007,3.5,EUR
0C9C7221A8E4645C17002DF03754AB66,101,10,BV-0007,3.5,EUR
5B9C7221A8E4645C17002DF03754AB66,111,8,BV-0005,3.5,EUR
649C7221A8E4645C17002DF03754AB66,112,4,BV-0004,3.5,EUR
699C7221A8E4645C17002DF03754AB66,113,3,BV-0004,3.5,EUR
809C7221A8E4645C17002DF03754AB66,115,4,BV-0004,3.5,EUR
