ID;Description;BeginDate;EndDate;BookingFee;TotalPrice;Currency_code;Status_code;Agency_ID;Customer_ID;createdAt;createdBy;modifiedAt;modifiedBy
1;Business Trip for Christine, Pierre;2023-08-04;2023-08-04;20;900;USD;O;070007;0000000441;2023-07-19T19:54:13.000Z;Meier;2023-07-21T20:07:58.000Z;Lindwurm
2;Vacation;2023-08-04;2024-06-02;80;4164;USD;O;070046;0000000477;2023-07-01T22:05:32.000Z;Detemple;2023-07-20T02:37:18.000Z;Mustermann
3;Vacation;2023-08-04;2024-06-02;40;1871;USD;O;070042;0000000400;2023-07-15T04:32:59.000Z;Rahn;2023-08-01T20:16:11.000Z;Hoffen
4;Business Trip for Kurt, Ida;2023-08-04;2023-08-04;20;992;USD;O;070007;0000000284;2023-07-18T06:57:58.000Z;Sessler;2023-07-20T14:57:59.000Z;Heller
5;Vacation;2023-08-04;2024-06-02;120;5586;USD;X;070049;0000000206;2023-07-10T12:58:58.000Z;Neubasler;2023-07-30T01:09:43.000Z;Illner
6;Vacation;2023-08-04;2024-06-02;120;5691;USD;O;070046;0000000311;2023-07-01T03:29:47.000Z;Mechler;2023-07-20T05:57:06.000Z;Koslowski
7;Vacation for Lothar, Ulla, Thilo;2023-08-04;2023-08-06;60;2777;USD;O;070012;0000000268;2023-07-01T22:08:00.000Z;Illner;2023-07-05T12:48:17.000Z;Fischer
8;Visiting Anna;2023-08-04;2024-06-02;120;5792;USD;A;070032;0000000533;2023-07-01T22:54:38.000Z;Mustermann;2023-10-30T14:40:44.000Z;ANZEIGER
9;Business Trip to USA;2023-08-04;2023-08-06;20;959;USD;O;070016;0000000026;2023-07-05T22:57:30.000Z;Mustermann;2023-07-11T22:47:52.000Z;Mustermann
10;Vacation;2023-08-04;2023-08-04;20;959;USD;X;070005;0000000173;2023-07-19T16:02:21.000Z;Benz;2023-07-21T02:39:47.000Z;Gueldenpfenn
11;Sightseeing in Miami, Florida;2023-08-04;2024-05-31;90;4304;USD;A;070028;0000000135;2023-07-21T22:56:40.000Z;Mustermann;2023-08-01T22:50:12.000Z;Becker
12;Vacation for Thomas, Jasmin;2023-08-04;2023-08-06;40;2014;USD;O;070014;0000000073;2023-07-02T01:45:44.000Z;Mustermann;2023-07-07T21:40:23.000Z;Martin
13;Business Trip for Anna;2023-08-04;2023-08-04;10;544;USD;O;070010;0000000246;2023-07-05T18:23:25.000Z;Matthaeus;2023-07-08T10:44:28.000Z;Deichgraeber
14;Sightseeing in Miami, Florida;2023-08-04;2024-05-31;60;3001;USD;A;070028;0000000264;2023-07-03T06:10:18.000Z;Deichgraeber;2023-07-14T18:39:10.000Z;Buehler
15;Vacation;2023-08-04;2024-06-02;120;5937;USD;X;070050;0000000200;2023-07-07T23:01:18.000Z;Barth;2023-07-28T02:42:47.000Z;Buchholm
16;Vacation;2023-08-04;2024-06-02;120;6087;USD;O;070048;0000000158;2023-07-04T01:02:08.000Z;Delon;2023-07-24T09:16:52.000Z;Martin
17;Vacation;2023-08-04;2024-06-02;80;4040;USD;O;070050;0000000168;2023-07-07T14:49:49.000Z;Rahn;2023-07-27T20:05:59.000Z;Montero
18;Vacation;2023-08-04;2024-06-02;40;2042;USD;O;070049;0000000185;2023-07-06T20:19:45.000Z;Prinz;2023-07-26T18:41:07.000Z;Sisko
19;Vacation;2023-08-04;2024-06-02;120;6272;USD;O;070049;0000000207;2023-07-08T11:02:39.000Z;Mustermann;2023-07-28T22:57:29.000Z;Babilon
